SUPPLIER PRODUCT NUMBER,SUPPLIER PRODUCT NAME,SUPPLIER EAN CODE ,PACKAGING UNIT,RETAIL PRICE (MSRP),PURCHASE PRICE (EXCL. VAT),BRAND,CATEGORY,MATERIAL,COLOR,COUNTRY OF ORIGIN,PRODUCT DESCRIPTION,MICROWAVE SAFE,CLEANING/WASHING INSTRUCTIONS,DISHWASHER SAFE,HANDMADE,DIAMETER (CM),WIDTH (CM) ,HEIGHT (CM),LENGHT (CM),CAPACITY (ML),NET PRODUCT WEIGHT (GRAMS),PACKAGE DIMENSIONS: LENGTH (CM),PACKAGE DIMENSIONS: HEIGHT (CM),PACKAGE DIMENSIONS: WIDTH (CM),GROSS WEIGHT INCL. PACKAGE (GRAMS)
165-40,Diamond Jug 2L Lilla,8595711802453,1 pcs / 1 box,"€127,50","€51,00",Anna von Lipa,Jugs and Carafes, Glass,Lilla,Czech Republic,"Majestic and royal, new pattern DIAMOND, entering the spotllight.
Timeless design with pastel colors acompaning the jug will make it one-of-a-kind product.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
165-50,Diamond Jug 2L Rosa,8595711802460,1 pcs / 1 box,"€127,50","€51,00",Anna von Lipa,Jugs and Carafes, Glass,Rosa,Czech Republic,"Majestic and royal, new pattern DIAMOND, entering the spotllight.
Timeless design with pastel colors acompaning the jug will make it one-of-a-kind product.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
180-112,Confetti Caraf Flamingo,8595711800190,1 pcs / 1 box,"€131,25","€52,50",Anna von Lipa,Jugs and Carafes, Glass,Flamingo,Czech Republic,"The confetti Caraf is where a joyful mixture of traditional Czech glass artistry and fun-loving Danish design meet. Created using a special technique where an array of colours is splashed on the glass, they are festive and sure to catch the eye.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,8,-,28,No Length,1000,1100,"13,5",30,"13,8",1100
180-132,Confetti Caraf Pacific,8595711800053,1 pcs / 1 box,"€131,25","€52,50",Anna von Lipa,Jugs and Carafes, Glass,Pacific,Czech Republic,"The confetti Caraf is where a joyful mixture of traditional Czech glass artistry and fun-loving Danish design meet. Created using a special technique where an array of colours is splashed on the glass, they are festive and sure to catch the eye.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,8,-,28,No Length,1000,1100,"13,5",30,"13,8",1100
180-85,Confetti Caraf Rosa + Yellow,5740009201156,1 pcs / 1 box,"€131,25","€52,50",Anna von Lipa,Jugs and Carafes, Glass,Rosa + Yellow,Czech Republic,"The confetti Caraf is where a joyful mixture of traditional Czech glass artistry and fun-loving Danish design meet. Created using a special technique where an array of colours is splashed on the glass, they are festive and sure to catch the eye.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,8,-,28,No Length,1000,1100,"13,5",30,"13,8",1100
180-86,Confetti Caraf Rosa+Yellow+Tyrkys+Lt.Blue,5740009201163,1 pcs / 1 box,"€131,25","€52,50",Anna von Lipa,Jugs and Carafes, Glass,Rosa+Yellow+Tyrkys+Lt.blue,Czech Republic,"The confetti Caraf is where a joyful mixture of traditional Czech glass artistry and fun-loving Danish design meet. Created using a special technique where an array of colours is splashed on the glass, they are festive and sure to catch the eye.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,8,-,28,No Length,1000,1100,"13,5",30,"13,8",1100
200-1,Hobnail Globe Vase 18 cm Amber,5740009203471,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Amber,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-5,Hobnail Globe Vase 18 cm Beryl,5740009203495,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Beryl,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-7,Hobnail Globe Vase 18 cm Blue smoke,5740009203501,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Blue smoke,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-9,Hobnail Globe Vase 18 cm Cashmere,5740009203518,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Cashmere,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-10,Hobnail Globe Vase 18 cm Crystal,5740009203532,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Crystal,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-12,Hobnail Globe Vase 18 cm Citron,5740009203525,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Citron,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-14,Hobnail Globe Vase 18 cm Light blue,5740009203723,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Light blue,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-21,Hobnail Globe Vase 18 cm Light green,5740009203549,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Light green,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-27,Hobnail Globe Vase 18 cm Lavender,8595711802828,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Lavender,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-30,Hobnail Globe Vase 18 cm New Brown,8595711802156,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,New Brown,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-32,Hobnail Globe Vase 18 cm Olivegreen,5740009208513,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Olivegreen,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-40,Hobnail Globe Vase 18 cm Lilla,5740009203587,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Lilla,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
200-50,Hobnail Globe Vase 18 cm Rosa,5740009203556,1 pcs / 1 box,"€85,50","€34,20",Anna von Lipa,Vases, Glass,Rosa,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. It comes in rich colour-palette, that can reflect any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
205-95,Marble Globe Vase Mulberry Delight,5740009209183,1 pcs / 1 box,"€149,50","€59,80",Anna von Lipa,Vases, Glass,Mulberry Delight,Czech Republic,The simple design of this round decorative bowl in purple color complete with a stripe of marble confetti.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,16,No Length,1800,1300,"18,5",18,18,1300
210-9,Hobnail Globe Vase 24 cm Cashmere,5740009203679,1 pcs / 1 box,"€143,00","€57,20",Anna von Lipa,Vases, Glass,Cashmere,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. A perfect size for flowers, it is bound to be a center of attention in any living space. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,24,-,21,No Length,3000,2400,"25,3",25,"25,5",2400
210-10,Hobnail Globe Vase 24 cm Crystal,5740009203594,1 pcs / 1 box,"€143,00","€57,20",Anna von Lipa,Vases, Glass,Crystal,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. A perfect size for flowers, it is bound to be a center of attention in any living space. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,24,-,21,No Length,3000,2400,"25,3",25,"25,5",2400
210-12,Hobnail Globe Vase 24 cm Citron,5740009203686,1 pcs / 1 box,"€143,00","€57,20",Anna von Lipa,Vases, Glass,Citron,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. A perfect size for flowers, it is bound to be a center of attention in any living space. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,24,-,21,No Length,3000,2400,"25,3",25,"25,5",2400
210-14,Hobnail Globe Vase 24 cm Light blue,5740009203846,1 pcs / 1 box,"€143,00","€57,20",Anna von Lipa,Vases, Glass,Light blue,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. A perfect size for flowers, it is bound to be a center of attention in any living space. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,24,-,21,No Length,3000,2400,"25,3",25,"25,5",2400
210-32,Hobnail Globe Vase 24 cm Olivegreen,5740009208537,1 pcs / 1 box,"€143,00","€57,20",Anna von Lipa,Vases, Glass,Olivegreen,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. A perfect size for flowers, it is bound to be a center of attention in any living space. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,24,-,21,No Length,3000,2400,"25,3",25,"25,5",2400
210-40,Hobnail Globe Vase 24 cm Lilla,5740009203709,1 pcs / 1 box,"€143,00","€57,20",Anna von Lipa,Vases, Glass,Lilla,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. A perfect size for flowers, it is bound to be a center of attention in any living space. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,24,-,21,No Length,3000,2400,"25,3",25,"25,5",2400
210-50,Hobnail Globe Vase 24 cm Rosa,5740009203600,1 pcs / 1 box,"€143,00","€57,20",Anna von Lipa,Vases, Glass,Rosa,Czech Republic,"The simple design of this round decorative bowl combined with the classic Bohemian hobnail design is timelessly elegant. A perfect size for flowers, it is bound to be a center of attention in any living space. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,24,-,21,No Length,3000,2400,"25,3",25,"25,5",2400
250-1,Dahlia Vase Amber,5740009203334,1 pcs / 1 box,"€122,75","€49,10",Anna von Lipa,Vases, Glass,Amber,Czech Republic,"Named after the Mexican Dahlia flowers that it’s swirling effects mimics, the Dahlia vase is grandiose and elegant. The vase comes in several colors to suit any taste and fit into any type of décor.  The Dahlia vase is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
250-5,Dahlia Vase Beryl,5740009203341,1 pcs / 1 box,"€122,75","€49,10",Anna von Lipa,Vases, Glass,Beryl,Czech Republic,"Named after the Mexican Dahlia flowers that it’s swirling effects mimics, the Dahlia vase is grandiose and elegant. The vase comes in several colors to suit any taste and fit into any type of décor.  The Dahlia vase is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
250-7,Dahlia Vase Blue smoke,5740009203419,1 pcs / 1 box,"€122,75","€49,10",Anna von Lipa,Vases, Glass,Blue smoke,Czech Republic,"Named after the Mexican Dahlia flowers that it’s swirling effects mimics, the Dahlia vase is grandiose and elegant. The vase comes in several colors to suit any taste and fit into any type of décor.  The Dahlia vase is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
250-9,Dahlia Vase Cashmere,5740009203754,1 pcs / 1 box,"€122,75","€49,10",Anna von Lipa,Vases, Glass,Cashmere,Czech Republic,"Named after the Mexican Dahlia flowers that it’s swirling effects mimics, the Dahlia vase is grandiose and elegant. The vase comes in several colors to suit any taste and fit into any type of décor.  The Dahlia vase is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
250-10,Dahlia Vase Crystal,5740009203358,1 pcs / 1 box,"€122,75","€49,10",Anna von Lipa,Vases, Glass,Crystal,Czech Republic,"Named after the Mexican Dahlia flowers that it’s swirling effects mimics, the Dahlia vase is grandiose and elegant. The vase comes in several colors to suit any taste and fit into any type of décor.  The Dahlia vase is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
250-14,Dahlia Vase Light blue,5740009203853,1 pcs / 1 box,"€122,75","€49,10",Anna von Lipa,Vases, Glass,Light blue,Czech Republic,"Named after the Mexican Dahlia flowers that it’s swirling effects mimics, the Dahlia vase is grandiose and elegant. The vase comes in several colors to suit any taste and fit into any type of décor.  The Dahlia vase is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
250-32,Dahlia Vase Olivegreen,5740009208544,1 pcs / 1 box,"€122,75","€49,10",Anna von Lipa,Vases, Glass,Olivegreen,Czech Republic,"Named after the Mexican Dahlia flowers that it’s swirling effects mimics, the Dahlia vase is grandiose and elegant. The vase comes in several colors to suit any taste and fit into any type of décor.  The Dahlia vase is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
250-40,Dahlia Vase Lilla,5740009203372,1 pcs / 1 box,"€122,75","€49,10",Anna von Lipa,Vases, Glass,Lilla,Czech Republic,"Named after the Mexican Dahlia flowers that it’s swirling effects mimics, the Dahlia vase is grandiose and elegant. The vase comes in several colors to suit any taste and fit into any type of décor.  The Dahlia vase is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
250-41,Dahlia Vase Lilla alex,5740009203389,1 pcs / 1 box,"€122,75","€49,10",Anna von Lipa,Vases, Glass,Lilla alex,Czech Republic,"Named after the Mexican Dahlia flowers that it’s swirling effects mimics, the Dahlia vase is grandiose and elegant. The vase comes in several colors to suit any taste and fit into any type of décor.  The Dahlia vase is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
250-50,Dahlia Vase Rosa,5740009203365,1 pcs / 1 box,"€122,75","€49,10",Anna von Lipa,Vases, Glass,Rosa,Czech Republic,"Named after the Mexican Dahlia flowers that it’s swirling effects mimics, the Dahlia vase is grandiose and elegant. The vase comes in several colors to suit any taste and fit into any type of décor.  The Dahlia vase is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
252-40,Small Diamond Dahlia Vase Lilla,8595711802743,1 pcs / 1 box,"€87,50","€35,00",Anna von Lipa,Vases, Glass,Lilla,Czech Republic,"Majestic and royal, new pattern DIAMOND, entering the spotllight. Timeless design with pastel colors acompaning the vase will make it one-of-a-kind product. This vase is a smaller model of Dahlia Vase.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,19,-,21,No Length,3000,1700,25,25,26,1900
252-50,Small Diamond Dahlia Vase Rosa,8595711802750,1 pcs / 1 box,"€87,50","€35,00",Anna von Lipa,Vases, Glass,Rosa,Czech Republic,"Majestic and royal, new pattern DIAMOND, entering the spotllight. Timeless design with pastel colors acompaning the vase will make it one-of-a-kind product. This vase is a smaller model of Dahlia Vase.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,19,-,21,No Length,3000,1700,25,25,26,1900
255-7,Elipse Vase Blue smoke,5740009209589,1 pcs / 1 box,"€111,25","€44,50",Anna von Lipa,Vases, Glass,Blue smoke,Czech Republic,"The mouth-blown Elipse Vase has a cut-off geometrical elipse-shape, giving it a Nordic inspired symmetrical look that is refreshing yet elegant. It is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"15,5",-,23,No Length,3000,800,"18,5","23,7","18,5",800
255-32,Elipse Vase Olivegreen,5740009208568,1 pcs / 1 box,"€111,25","€44,50",Anna von Lipa,Vases, Glass,Olivegreen,Czech Republic,"The mouth-blown Elipse Vase has a cut-off geometrical elipse-shape, giving it a Nordic inspired symmetrical look that is refreshing yet elegant. It is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"15,5",-,23,No Length,3000,800,"18,5","23,7","18,5",800
255-41,Elipse Vase Lilla alex,5740009203648,1 pcs / 1 box,"€111,25","€44,50",Anna von Lipa,Vases, Glass,Lilla alex,Czech Republic,"The mouth-blown Elipse Vase has a cut-off geometrical elipse-shape, giving it a Nordic inspired symmetrical look that is refreshing yet elegant. It is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"15,5",-,23,No Length,3000,800,"18,5","23,7","18,5",800
255-50,Elipse Vase Rosa,5740009203327,1 pcs / 1 box,"€111,25","€44,50",Anna von Lipa,Vases, Glass,Rosa,Czech Republic,"The mouth-blown Elipse Vase has a cut-off geometrical elipse-shape, giving it a Nordic inspired symmetrical look that is refreshing yet elegant. It is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"15,5",-,23,No Length,3000,800,"18,5","23,7","18,5",800
255-73,Marble Elipse Vase ,5740009209206,1 pcs / 1 box,"€149,50","€59,80",Anna von Lipa,Vases, Glass,Marble,Czech Republic,"The mouth-blown Elipse Vase has a cut-off geometrical elipse-shape, giving it a Nordic inspired symmetrical look that is refreshing yet elegant. It is designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"15,5",-,23,No Length,3000,800,"18,5","23,7","18,5",800
256-32,Oslo Vase Olivegreen,5740009208575,1 pcs / 1 box,"€112,75","€45,10",Anna von Lipa,Vases, Glass,Olivegreen,Czech Republic,"The Oslo Vase is named after Norway’s capital, Oslo, as it draws inspiration from classic Norwegian aesthetics. It has soft swirling lines that encircles its round body and is mouth-blown, handmade by experienced professionals and designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,15,-,25,No Length,2500,1300,"18,3","27,5","18,3",1300
256-41,Oslo Vase Lilla alex,5740009203655,1 pcs / 1 box,"€112,75","€45,10",Anna von Lipa,Vases, Glass,Lilla alex,Czech Republic,"The Oslo Vase is named after Norway’s capital, Oslo, as it draws inspiration from classic Norwegian aesthetics. It has soft swirling lines that encircles its round body and is mouth-blown, handmade by experienced professionals and designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,15,-,25,No Length,2500,1300,"18,3","27,5","18,3",1300
256-50,Oslo Vase Rosa,5740009203297,1 pcs / 1 box,"€112,75","€45,10",Anna von Lipa,Vases, Glass,Rosa,Czech Republic,"The Oslo Vase is named after Norway’s capital, Oslo, as it draws inspiration from classic Norwegian aesthetics. It has soft swirling lines that encircles its round body and is mouth-blown, handmade by experienced professionals and designed by Jytte Correll, the owner of Anna von Lipa.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,15,-,25,No Length,2500,1300,"18,3","27,5","18,3",1300
258-10,Frosty Dahlia Vase Crystal,8595711804655,1 pcs / 1 box,"€137,50","€55,00",Anna von Lipa,Vases, Glass,Crystal,Czech Republic,"Inspired by the cracked ice of winter
Scandinavia. It is made using a unique traditional glassmaking technique
that uses a brush, beech sawdust and cold water. This process creates an
exceptional structure that works beautifully with light and is the
perfect decoration for any interior.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
258-12,Frosty Dahlia Vase Citron,8595711804662,1 pcs / 1 box,"€137,50","€55,00",Anna von Lipa,Vases, Glass,Citron,Czech Republic,"Inspired by the cracked ice of winter
Scandinavia. It is made using a unique traditional glassmaking technique
that uses a brush, beech sawdust and cold water. This process creates an
exceptional structure that works beautifully with light and is the
perfect decoration for any interior.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
258-14,Frosty Dahlia Vase Light blue,8595711804679,1 pcs / 1 box,"€137,50","€55,00",Anna von Lipa,Vases, Glass,Light blue,Czech Republic,"Inspired by the cracked ice of winter
Scandinavia. It is made using a unique traditional glassmaking technique
that uses a brush, beech sawdust and cold water. This process creates an
exceptional structure that works beautifully with light and is the
perfect decoration for any interior.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
258-21,Frosty Dahlia Vase Light green,8595711804686,1 pcs / 1 box,"€137,50","€55,00",Anna von Lipa,Vases, Glass,Light green,Czech Republic,"Inspired by the cracked ice of winter
Scandinavia. It is made using a unique traditional glassmaking technique
that uses a brush, beech sawdust and cold water. This process creates an
exceptional structure that works beautifully with light and is the
perfect decoration for any interior.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
258-32,Frosty Dahlia Vase Olivegreen,8595711804693,1 pcs / 1 box,"€137,50","€55,00",Anna von Lipa,Vases, Glass,Olivegreen,Czech Republic,"Inspired by the cracked ice of winter
Scandinavia. It is made using a unique traditional glassmaking technique
that uses a brush, beech sawdust and cold water. This process creates an
exceptional structure that works beautifully with light and is the
perfect decoration for any interior.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
258-40,Frosty Dahlia Vase Lilla,8595711804709,1 pcs / 1 box,"€137,50","€55,00",Anna von Lipa,Vases, Glass,Lilla,Czech Republic,"Inspired by the cracked ice of winter
Scandinavia. It is made using a unique traditional glassmaking technique
that uses a brush, beech sawdust and cold water. This process creates an
exceptional structure that works beautifully with light and is the
perfect decoration for any interior.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
258-50,Frosty Dahlia Vase Rosa,8595711804716,1 pcs / 1 box,"€137,50","€55,00",Anna von Lipa,Vases, Glass,Rosa,Czech Republic,"Inspired by the cracked ice of winter
Scandinavia. It is made using a unique traditional glassmaking technique
that uses a brush, beech sawdust and cold water. This process creates an
exceptional structure that works beautifully with light and is the
perfect decoration for any interior.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,23,-,22,No Length,5000,1900,26,25,26,1900
275-134,Confetti Squeeze Vase Mandarin,5740009209817,1 pcs / 1 box,"€150,00","€60,00",Anna von Lipa,Vases, Glass,Mandarin,Czech Republic,"The charming, organic shape of this tumbler is obtained by squeezing the burning hot crystal with cloth, ensuring that two pieces are never alike. Due to its soft shape, it fits perfectly in the hand, making it as practical as it is charming.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"13,3",-,"23,5",No Length,1500,1000,"18,5","23,7","18,5",1000
283-117,Meadows Vase Arctic,8595711804136,1 pcs / 1 box,"€137,50","€55,00",Anna von Lipa,Vases, Glass,Arctic,Czech Republic,"The new MEADOWS collection was created in collaboration with our designer Jytte Correll. Jytte has been thinking about a similar design for a long time, and in cooperation with a glass factory, we managed to find the right technique and create this collection inspired mainly by nature. For this reason, the name MEADOWS and individual color combinations were named after the most similar colors from the nature that surrounds us.

Whether you choose the icy-looking ARCTIC inspired by the icy kingdom of Antarctica, MIDNIGHT evoking a dark night, CHERRY BLOSSOM looking like a blossoming cherry tree, SPRING with the feeling of a spring forest, EAST COAST which transports you to the ocean coast or VIVA MAGENTA with its calm color combination, you can never go wrong. All colors have been carefully selected to have a positive feeling and fit the trends of contemporary interiors.And what is the bonus of this collection? Color combinations have no limit. Nothing is impossible. You can choose any color mix and create your own combination. Plenty of colors and variants for everyone. This leads us to unlimited offers and possibilities of variation according to the wishes of our customers.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,"13,3",-,26,No Length,2000,1300,"13,5",27,"13,5",1300
